Current state: 27, Current token: : REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: : REDUCE by rule 13 GOTO to state 74
Current state: 74, Current token: : REDUCE by rule 5 GOTO to state 28
Current state: 28, Current token: : SHIFT to state 55
Current state: 55, Current token: NEWLINE SHIFT to state 75
Current state: 75, Current token: INDENT SHIFT to state 85
Current state: 85, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: STRING SHIFT to state 17
Current state: 17, Current token: ) REDUCE by rule 2 GOTO to state 25
Current state: 25, Current token: ) REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: DEDENT REDUCE by rule 47 GOTO to state 58
Current state: 58, Current token: DEDENT REDUCE by rule 44 GOTO to state 86
Current state: 86, Current token: DEDENT SHIFT to state 87
Current state: 87, Current token: else SHIFT to state 89
Current state: 89, Current token: : SHIFT to state 93
Current state: 93, Current token: NEWLINE SHIFT to state 95
Current state: 95, Current token: INDENT SHIFT to state 97
Current state: 97, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: STRING SHIFT to state 17
Current state: 17, Current token: ) REDUCE by rule 2 GOTO to state 25
Current state: 25, Current token: ) REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: DEDENT REDUCE by rule 47 GOTO to state 58
Current state: 58, Current token: DEDENT REDUCE by rule 44 GOTO to state 99
Current state: 99, Current token: DEDENT SHIFT to state 101
Current state: 101, Current token: DEDENT REDUCE by rule 10 GOTO to state 90
Current state: 90, Current token: DEDENT REDUCE by rule 22 GOTO to state 8
Current state: 8, Current token: DEDENT REDUCE by rule 47 GOTO to state 33
Current state: 33, Current token: DEDENT REDUCE by rule 46 GOTO to state 86
Current state: 86, Current token: DEDENT SHIFT to state 87
Current state: 87, Current token: else SHIFT to state 89
Current state: 89, Current token: : SHIFT to state 93
Current state: 93, Current token: NEWLINE SHIFT to state 95
Current state: 95, Current token: INDENT SHIFT to state 97
Current state: 97, Current token: print SHIFT to state 2
Current state: 2, Current token: ( SHIFT to state 30
Current state: 30, Current token: STRING SHIFT to state 17
Current state: 17, Current token: ) REDUCE by rule 2 GOTO to state 25
Current state: 25, Current token: ) REDUCE by rule 30 GOTO to state 23
Current state: 23, Current token: ) REDUCE by rule 29 GOTO to state 27
Current state: 27, Current token: ) REDUCE by rule 50 GOTO to state 24
Current state: 24, Current token: ) REDUCE by rule 13 GOTO to state 56
Current state: 56, Current token: ) SHIFT to state 76
Current state: 76, Current token: NEWLINE REDUCE by rule 34 GOTO to state 7
Current state: 7, Current token: NEWLINE REDUCE by rule 43 GOTO to state 6
Current state: 6, Current token: NEWLINE SHIFT to state 32
Current state: 32, Current token: DEDENT REDUCE by rule 47 GOTO to state 58
Current state: 58, Current token: DEDENT REDUCE by rule 44 GOTO to state 99
Current state: 99, Current token: DEDENT SHIFT to state 101
Current state: 101, Current token: $ REDUCE by rule 10 GOTO to state 90
Current state: 90, Current token: $ REDUCE by rule 22 GOTO to state 8
Current state: 8, Current token: $ REDUCE by rule 47 GOTO to state 33
